ID,Class,Text
51,1,Either that or Chrome maybe had to find some long drawn out work-around...
52,1,Actual:
53,1,TODO for me:
54,4,User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0 StumbleUpon/1.999
55,1,"Otherwise jsbugmon will report that this bug is unreproducible, as per comment 4 of this bug, assuming that the bug still exists and reproduces manually."
56,1,1.Hide the window (apple-h)
57,1,2. use FireFox regularly
58,1,2. kill the clock application
59,2,*
60,1,Also had X11Amp loaded.
61,1,"This is already fixed on trunk somehow, at least with current steps to reproduce."
62,1,"Hey, I'm interested in this bug if no one else is working on it."
63,1,no splash appears .
64,2,#14 0x2b0339e2 in nsAppShellService::Run (this=0x8101300)
65,2,Gaia: ae3a84acaab80a5b35d5542d63e68462273c8a1b
66,1,2. Middle click in a Firefox browser area
67,2,"@@ +112,4 @@"
68,2,+          lastCharArabic = IS_ARABIC_CHAR(ch);
69,2,"nsBlockFrame::ReflowBlockFrame(nsBlockReflowState & {...}, nsLineBox *"
70,1,But in Internet Explorer:
71,1,"2. Use a video sharing site, and go to full screen"
72,1,Steps to reproduce:
73,1,Risk to taking this patch (and alternatives if risky): Low
74,1,No void.
75,1,"Julien, can you reproduce this problem in Mozilla's Firefox 41? Or does this problem only affect Cyberfox?"
76,2,---------------------------
77,2,User Agent: Mozilla/5.0 (Mobile; rv:32.0) Gecko/32.0 Firefox/32.0
78,2,AAC audio
79,1,2. Hold yellow OFF key (located next to the SIM card slot) for 5 to 10 seconds until the device buzzes
80,1,"and hold them out in front of you.  See, now it's fine."""
81,1,Thanks!!
82,2,USER32! 77e1395f()
83,1,the customize page supplied for a sidebar tab.
84,1,"activity monitor running continuously.  If I reload, it may stop, or it may"
85,1,"Step 2 above should be ""Change options to set tabs on right side of screen."""
86,5,Done as requested.  Output of NS_FONT_DEBUG=C ./mozilla http://www.mozilla.org/
87,1,*** This bug has been marked as a duplicate of 283478 ***
88,1,"If we wait a second to tap the ok button, it works fine. It needs to tap quickly to reproduce this bug."
89,2,Direction DominantDirection(gfxPoint aPoint) { ... }
90,1,[Steps] 1. Run all PTS test cases
91,1,didn't mark it before (just looked over what I think are the new parts)
92,1,(This had the wrong bug number in the commit message.)
93,1,"54d57bd38f51	Matthew Noorenberghe ??? Bug 1007979 - Refactor nsSearchSuggestions into a reusable JSM. r=adw Original JSM by mconnor."
94,2,[New LWP 2]
95,1,This is not pleasing for her.
96,1,"2042   // Now, be sure to keep |this| alive, and the dialog"
97,2,"@@ +191,5 @@"
98,1,"I'm here, but I'm afraid I don't have much to report. May be it doesn't happen with the new UI? I've seen the ""couple of minutes before painting even the initial Chrome"" problem a couple of times after that, but there's no consistent way to reproduce that. It just happens randomly, and when I try to do that again, it doesn't. I'm not sure what can be done here to this bug. These days when it becomes slow I just go and delete those Local cache folders."
99,4,"/build_stage/communications/dialer/index.html: L10nError: Duplicate string ""edit"" found in app://communications.gaiamobile.org"
100,1,"Your right, the plain html page is rendered correctly."
101,2,Tools | Message Filters
102,2,return JS_FALSE;
103,1,Reproducible: Always
104,1,"3.1. The notification panel should probably explicitly specify that the label (class: ""popup-notification-description"") is the description for the panel (using aria-describedby?). This isn't essential, as screen readers generally use algorithms to work this out, but it's more correct."
105,1,A try run with the mochitest
106,1,"This is the thumbnail optimization I told you about. Previously my metadata code was creating a thumbnail for every song, even when a bunch of songs were part of the same album and shared the same thumbnail."
107,2,hfdxhfdhdfh
108,4,User-Agent:       Mozilla/5.0 (X11; Linux x86_64; rv:2.0b6pre) Gecko/20100913 Firefox-4.0/4.0b6pre Ubuntu/10.04
109,1,Checking in base/content/browser.js;
110,1,Koala
111,1,"Or is it only about a small notification, kind of a footnote?"
112,1,Review of attachment 582733:
113,3,23:06:06     INFO -  gBrowserInit.onLoad@chrome://browser/content/browser.js:990:5
114,1,verified fixed using the testcases and Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9pre) Gecko/2008041217 Minefield/3.0pre ID:2008041217 +  Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9pre) Gecko/2008041304 Minefield/3.0pre no crash on testcases.
115,1,Steps to Reproduce:
116,2,"document.getElementById(""togglePasswords"").label = kSignonBundle.getString(""showPasswords"");"
117,1,Updating summary to reflect subject of the bug and changing component. This is probably a dupe of an existing bug.
118,1,"I found bugs like bug 144432, but they refer to a slightly different problem."
119,1,1. Just visit sites with lots of GIFs and make sure they're rendering ok.
120,2,::: accessible/tests/mochitest/states/test_inputs.html
121,1,"through or by the JS component's code.  We need to report them somewhere, rather"
122,1,"Setting milestone to M11 and setting it to blocker. Vidur, apologies for setting"
123,1,"I managed to reproduce this issue on Firefox 44 RC and on Windows 10 x86, using the STR from Comment 15."
124,1,"Risk to taking this patch (and alternatives if risky): Low. The interface of |libfdio.so| is changed, but currently the only client that uses it is |bluetoothd|."
125,4,Build: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.4b) Gecko/20030521 Mozilla
126,4,TestRunner:  Starting test 51:EventTimestamp with timeout 30000
127,1,"76162 seems to suggest that the list is small, there are only a few sites added"
128,1,"Thanks Gareth. Some of the abstraction style did feel a bit off for me as well, but I guess I was too happy to enable another test :)"
129,3,"27 	xul.dll 	nsAppShell::Run 	widget/src/windows/nsAppShell.cpp:258"
130,1,"attinasi, is the sr complete? who's to set the target milestone for this?"
131,1,"Actual results: the words ""Export options"" appear in the lower *left*"
132,2,02:06:20 INFO - CPU: arm
133,2,https://reviewboard.mozilla.org/r/14659/#review13243
134,2,16386[81f9b48]: nsHttpConnection::Init [this=83ea548]
135,2,TE  --> T/m
136,3,libmozjs.so + 0x2e99f (0x4004699f)
137,5,"It does run slower, but not as slow as on Linux. I'm just compiling a debug build on Linux and will try with gDumpRepaintRegionForCopy=1 shortly."
138,2,nsXULDocument::ContentRemoved
139,1,1. In nsOfflineCacheUpdate - the #manifest and #dynamic keys were changed to use asciiSpec base
140,2,!= NULL' failed
141,2,#NAME?
142,5,before the User Agent Components are intialized (via InitUserAgentComponents())
143,1,Two additional comments.
144,2,e: {
145,1,1) Start apprunner.exe
146,1,why remove the assertion?
147,3,"0x7f12136f3ff8 ""/moz/aboutstartup3/js/src/jscntxtinlines.h"", ln=541)"
148,1,To repro: View URL.
149,2,"+    gfxFontGroup *CreateFontGroup(const nsAString &aFamilies,"
150,2,libIDL-0.8.2-1
151,1,(uninteresting screenshot)
152,2,************************************************************
153,1,5.  See page load.
154,1,"""I think this is because the tab code in global/bindings/tabbox.xml isn't"
155,4,22:17:18     INFO -  INFO TEST-END: /home/cltbld/talos-slave/test/build/tests/marionette/tests/dom/icc/tests/marionette/test_stk_proactive_command.js Fri Feb 22 2013 19:14:07 GMT-1100 (SST)
156,1,*** Bug 114327 has been marked as a duplicate of this bug. ***
157,1,"Sure thing, Gijs. I'll make those changes now and continue working on the tests after submitting the patch you need for 52."
158,3,"21:41:16     INFO -  nsDocumentOpenInfo::OnStartRequest(nsIRequest*, nsISupports*) [uriloader/base/nsURILoader.cpp:260]"
159,1,I agree that this is clearer.
160,1,This could be bug 223287
161,1,Actual results:
162,1,* No tests -yet- until we validate this approach
163,1,Is there any chance that this can be fixed on the 1.4 branch
164,1,Over to Rick who's going to make the first cut at this.
165,2,"0x00000000, const char * 0x0164abb8, const char * 0x02d6c9ac, const char *"
166,1,"Looks good to me, can you be sure to fix the unit tests before landing? Thanks!"
167,1,"then move the mouse below the textbox, it selects up to the char parallel"
168,2,+
169,1,Other interesting questions:
170,2,"document.write('<a href=""http://ads.web.aol.com/link/64000755/html?"
171,1,I'm flagging Wilfred to ensure we can get this into the backlog. This is crazy.
172,1,Reproducible: Always
173,1,"bug 221593 has a windows patch, maybe this can be used for os/2 as well"
174,4,Regression: Mozilla-Inbound-Non-PGO - Talos Page Switch - WINNT 5.1 (ix) - 19.5% increase
175,1,"Sorry for not replying here anymore, I was busy with exams and doing stuff for my youth movement :)"
176,1,"This is a mass search of unconfirmed bugs that have no activity on them, so if you feel a bug was marked in error, just remove the CLOSEME comment in the whiteboard within the next month."
177,1,1. install Firefox 1.0PRE
178,1,"- it would seem fairly intuitive to click on the icon to perform search with the associated engine. ""Click on the Google icon to search Google"""
179,4,Verified fixed in Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1a1pre) Gecko/2008062603 Minefield/3.1a1pre
180,1,Our dialog can explain that [shift]ctrl-tab and [shift]F6 are now being
181,2,"nsWindow::ProcessMessage(unsigned int,unsigned int &,long &,long *) (in xul.pdb)"
182,1,problem) so I believe in second order this host lookup problem could come
183,1,"the official version is the English version.  BTW, that's a paraphrase - the"
184,1,"I don't think the awesomebar is affected by this either way, since we explicitly decode URIs there."
185,1,verified in 6/5 build.
186,1,When i tried to kill the process via command line with taskkill
187,1,And pressing the Cancel button (which doesn't close the window):
188,1,#NAME?
189,1,to the beta may allow you to use the web interface.
190,1,"If we do that, shared-permanent properties with native getter-setter, where we use such to avoid an extra property, can't be used to implement ECMA-specified behavior -- not when there's no way to distinguish native-getter-setter-as-optimization from native-getter-setter-as-dynamic-behavior.  For example, the length property of functions is required to be exposed as a data descriptor.  This patch -- as currently written -- would do that.  I guess it lies for the descriptors that have native getters."
191,1,Since that event doesn't do batching we should probably implement batching with a WeakMap (e.g. using the document as the key) so we don't show the same error more than once per document.
192,1,"The unused enum is harder. I think the issue is that because we don't have external crate support in the build system, we're compiling our byteorder dependency as a module instead of a crate. That means that just declaring items public isn't sufficient to show them as used because they're no longer exported. Therefore anything we don't call ourselves generates an dead_code warning. I'm not sure what do do about that. We could try to strip that section, but that makes updates messy."
193,4,"Android CPU ABI	armeabi-v7a"
194,1,Needinfo :wayne to help with comment #3
195,4,FAIL: Busted: ts_cold_generated_max
196,1,"So, more tests are good."
197,1,Another thing is that when you force mozilla to maximize while in fullscreen
198,1,"-- 4xp -- (this works in NS 4.x, Helvetica/sans-serif doesn't, but this is only"
199,1,Integrated in Mozilla with minor tweaks.
200,1,"* In particular, never accept text/* (except maybe text/plain if that is currently common) or other nonsense-for-fonts content types."
201,1,If I'm correct the normal format to pass a username and password:
202,1,"Hmm, I guess on the one hand I can understand the desire for a consistent behaviour across all of Mozilla's products. On the other hand, I'd like to argue that there's also the consistency across the Android platform to be considered."
203,3,"19:43:18     INFO -   1  xul.dll!mozilla::TrackUnionStream::ProcessInput(__int64,__int64,unsigned int) [TrackUnionStream.h:ef40d40dd8c9 : 77 + 0x25]"
204,1,Review of attachment 8688627:
205,1,3. look at the bootom of pages for overlaping row
206,2,pexit:  14
207,1,Have to manually use mouse to click... or the Alt key to access the menu bar.
208,5,automated report - http://www.mathies.com/mozilla/bug1116884.txt
209,4,User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20130320 Firefox/21.0
210,4,"User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en-us) AppleWebKit/125.4 (KHTML, like Gecko) Safari/125.9"
211,2,rv = uuidgen->GenerateUUIDInPlace(&uuid);
212,1,1) Update a Aries to 20151208121557
213,1,"No, the HTML editor just has a dummy implementation:"
214,4,Firmware Version: L1TC10011800
215,1,"I was not able to uplift this bug to v1.2.  If this bug has dependencies which are not marked in this bug, please comment on this bug.  If this bug depends on patches that aren't approved for v1.2, we need to re-evaluate the approval.  Otherwise, if this is just a merge conflict, you might be able to resolve it with:"
216,1,blizzard- on the patch
217,1,Sorry I didn't answer earlier to your responses as I somehow didn't get any
218,1,Jeff et al: some more info.  The DOM itself does not appear to hold this
219,1,"after fix for the ""view page source"" crash, a ""view page source"" on a trunkated"
220,1,Actual results:
221,3,"nsEventListenerManager::HandleEventSubType  [c:/builds/tinderbox/Fx-Mozilla1.8/WINNT_5.2_Depend/mozilla/content/events/src/nsEventListenerManager.cpp, line 1655]"
222,2,reflow: 0.24ms
223,1,"Might be related: holding middleclick button on a normal webpage makes the autoscroll image jump around the webpage, like it's sending the middleclick button event again."
224,1,Checking in regress-341821.js;
225,2,xpos -= (screenViewLocX + mRect.width) - screenRightTwips;
226,5,See David's review comment in bug 921892. We should test that we treat v1 roots as isCA==true and other v1 certificates as isCA==false.
227,2,https://treeherder.mozilla.org/logviewer.html#?job_id=32898128&repo=mozilla-inbound
228,4,User-Agent:       Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; MSN 6.1; MSNbMSFT; MSNmen-ca; MSNc00; v5m)
229,4,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; de-DE; rv:1.7.5) Gecko/20041122 Firefox/1.0
230,1,Sucks if you wanted to keep some of those links.
231,1,what happens w/ images off? [i suspect htmltables]
232,1,"Roland, can you please share what was the number you used and the number with international prefix you got?"
233,2,BuildID: 20140514024003
234,1,"Does Win10 actually send WM_WINDOWPOSCHANGING to windows even when ""accent color change"" only?"
235,2,"int 1, nsCollapsingMargin & {...}, int 1, nsMargin & {...}, unsigned int & 0)"
236,2,Java: J2RE v. 1.3.1_01a
237,1,"However, I wonder (along the lines of alecf's comments) why these checks aren't"
238,1,"Not that I've heard, but I only go back so far... :)"
239,1,button? I think it can be categorized as not horrible though quite annoying...
240,2,"vec4 temp = texture2D(uSamplerUnused, vec2(vTextureCoord.s, vTextureCoord.t)); // *"
241,1,"I do not believe that this is a duplicate of bug 594500. This bug refers to touchpad scrolling, and that one refers to the mouse wheel. The circumstances also appear different, because it seems that the symptoms of the mouse wheel can be resolved at least partially without closing all pdf tabs in the window. The touchpad will not work outside of pdfs until all pdfs are closed."
242,1,Environmental Variables:
243,2,Gecko: 9b9aad4197d9
244,1,const - that might be why you forgot to free it :-) feel free to fix that as
245,2,https://hg.mozilla.org/mozilla-central/rev/8294084bb6fa
246,2,https://hg.mozilla.org/integration/mozilla-inbound/rev/c6ca2340a718
247,1,fails whenever we use any video controls. details as follows:
248,5,"2. Load https://www.youtube.com/watch?v=2fFYObYJG1k , seek to near the end, play to end."
249,1,I should try with v188 to see if that makes a difference...
250,1,Sorry for the typo. Type is privileged.
251,1,"As Gabriele mentioned in comment 15, I think our current design is acceptable. PIN/PUK code input screen appears at various places, for example, entering Message will trigger the screen, at this point, making emergency call is not what user intends to do. As a result, emphasizing ""you can still make emergency call when SIM is locked"" would seem unnecessary and further complicates the PIN/PUK screen. Thanks!"
252,2,line 3581]
253,2,chrome://glob
254,1,"The only styles in there is the ""bgcolor=white"", which is displaying correctly. Did you link to the correct page? Resolving this as INVALID since the page is displaying fine, until I hear otherwise."
255,1,"But you're right: in general, we need to have the same policy for Android, FX OS, and our desktop browser, and that's something we're trying to figure out right now. This is something we would need to agree on with the privacy team."
256,4,Vendor ID: 0x8086
257,1,bottom of the query list page.
258,1,"Or even more precisely, the sessionstore slowdown is not quite 2x; more like 1.5x, on the slower path.  But still there."
259,1,"Type in the ""Get Quote:"" field a stock name, e.g. CSCO and press go"
260,4,"Microsoft H.261 Video Codec,0x00200000,1,1,qcap.dll,6.05.3790.3959"
261,1,Bisection found Bug 1279503 - part 2 Push Notifications don't work in e10s depending on process configuration
262,2,"@@ +1166,5 @@"
263,1,where this is being leaked from then a plus is a possibility. putting on minus
264,1,Firefox crashes back to my desktop and offers to send an error report.
265,2,XREMain::XRE_mainRun() (in xul.pdb)
266,1,"Also, page JS execution halts rather than getting a catchable exception."
267,5,"Duh, the reason the stack depth is 2 when the error is being reported is super-simple: JSOP_MOREITER does a PUSH_NULL() right away, so any error from its implementation will find the post-op stack depth, not the pre-op that is expected by bytecode analysis up to but not including that op."
268,1,It's set to false for testing.
269,1,* Fixes bug in nsGlobalWindow::DisableDeviceSensor where we call through to RemoveWindowListener while there are still valid listeners
270,2,"#1  0x401a21a0 in pthread_cond_wait (cond=0x80ae354, mutex=0x80ae36c)"
271,4,20:38:55 INFO - sp = 0x5c7fa0f8 lr = 0x63a87cf5 pc = 0x63a87cf5
272,1,Update URL for test cases created for this user story. Dialer suite will be selected and tested as well.
273,4,"Date: Wed, 22 Mar 2006 20:43:34 GMT"
274,1,"oh yeah, that seems to be a problem with the progress curtain showed. I've found the same problem also in the Contacts 'Loading Contacts' screen."
275,1,the value returned is a framebuffer value it shouldn't be gamma corrected.
276,2,http://bugzilla.mozilla.org/show_bug.cgi?id=104663#c0
277,1,"Oops, backed out because of silly jsuword/uint64 incompatibility on 64-bit osx64:"
278,4,Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040510 Firefox/0.8.0+ (Darkstar)
279,1,For the current test case the 'changebar' texts should be aligned with the line
280,1,"i can still see this problem using 2.0.0.9 , Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.9) Gecko/20071025 Firefox/2.0.0.9 ! doesn't work for me , Windows XP, please re-open"
281,1,It doesn't look like you addressed this.
282,1,"If we can't get a handle on the sqlite crash, I can easily disable PGO when building sqlite."
283,1,"""Crucial"" is a strong word, however I am of the firm opinion that authors should"
284,1,Either this patch or bug 801488's patches caused mochitest browser-chrome crashes on all platforms. Backed out.
285,1,"Er, My Lord, they're coming from the hills."
286,2,"aCommandName=0xbfea95cc ""cmd_insertHTML"", aParams=0xb1156f18,"
287,1,line:
288,1,I apologize if you feel that I was arrogant for trying to explain what may be going on with the additional problem you cited. I would like more info on that but that should be in another bug to prevent this bug if anyone decides to.
289,3,16:27:17     INFO -  chrome://mochitests/content/browser/toolkit/components/thumbnails/test/browser_thumbnails_bg_destroy_browser.js:runTests:19
290,4,12:41:44     INFO -  01-30 15:27:33.206    45    45 I Gecko   : MARIONETTE TEST RESULT:TEST-PASS | test_conference.js | call state - connected should equal connected
291,1,"As you can see directly underneath the Submit button, the image was not"
292,1,"Peter, do you think you'll be able to take this one? Otherwise we need to find another owner."
293,1,"Upon further review, the ARMv6 chips that support Thumb-2 don't support the entire instruction set. Better to restrict to ARMv7 and higher."
294,5,after try https://tbpl.mozilla.org/?tree=Try&rev=43962b33583f
295,1,"Hi Vicamo,"
296,2,return new Promise(resolve => manager.onFinished = resolve);
297,5,"Anyway, I think the only place NS_ERROR_DOM_INVALID_STATE_ERR can come from is ScriptExecutorRunnable::ShutdownScriptLoader when aResult is false and mScriptLoader.mRv.Failed() is also false.  And as the comments there say, this can only happen if we totally fail to allocate the global in GetOrCreateGlobalScope() or if ScriptExecutorRunnable::Cancel gets called."
298,1,"I went to java and downloaded 1.4.2_03, and both mozilla and 7.1 immediately"
299,4,Build Identifier: Mozilla/5.0 (Windows; U; Win 9x 4.90; en-US; rv:1.6b) Gecko/20031213 Firebird/0.7+
300,1,Reproducible: Always
301,1,"However, I do not see why we should treat differently suggestions picked with"
302,1,Reduced case:
303,2,13  @media not all and (-moz-physical-home-button) {
304,1,Note that these applets load perfectly fine when there are no
305,2,"Product	Firefox"
306,1,"I'm OK with omitting it in the case you quoted (and the analogous rtFrame case), though I disagree that it's redundant there.  Technically, the assertion is simply checking that ""either there are no children, or the first child is a ruby base frame"", which is a pretty limited-in-scope thing to claim.  The  assertion-message that I suggested adding (""base container should only have ruby base frames as children"") isn't just a re-stating of the assertion condition (if it were, I'd agree RE redundancy) -- instead, it expresses the higher-level reason that we expect the assertion to hold."
307,4,5.0; rv:1.9b2pre) Gecko/2007120703 SeaMonkey/2.0a1pre
308,1,I hope these slides can be helpful to illustrate my thoughts:
309,1,private:
310,4,gklayout.lib(nsComboboxControlFrame.obj) : error LNK2001: unresolved external sy
311,1,0 bytes file should not stay.
312,1,"opt-out: I don't have a ready rule-of-thumb for making the privacy trade-off here.  In terms of utility, we currently get only a low volume of measurements on the equivalent opt-out metrics, we could certainly use more measurements if you think the cost acceptable.  In terms of privacy cost, this metric is predominantly about sites rather than users."
313,1,"Since you need DOM peer review for this patch, consider asking the peer if this could be added to the `OwningArrayBufferViewOrArrayBuffer` class."
314,1,Notes:
315,5,"Ah, good to know.  So it sounds like whoever implements bug 537782 will want to first check the HttpChannelChild's mCallbacks/mListener to see if they hand out auth prompts.  If they do, we should hand them out in HttpChannelParent as well, otherwise not.  I'll add a comment in the bug."
316,2,<script>
317,1,Steps to Reproduce:
318,5,from /home/simonb/Mozilla/package/components/librdf.so
319,1,Review of attachment 691755:
320,1,I have tried to import a standard certificate without keys into the Firefox
321,3,73c50000 73c71000   t2embed    (pdb symbols)          c:\symbols\t2embed.pdb\E317B5562BDD4146973BB987D4D7B3F31\t2embed.pdb
322,1,"one.  If it needs one, please set it upon review."
323,3,"3 	xul.dll 	nsIconChannel::OnStartRequest 	image/decoders/icon/win/nsIconChannel.cpp:718"
324,2,Bootloader             L1TC000118D0
325,1,f+. I didn't look closely at the profile / env. var stuff as I believe you're going to make the Refresh feature work with non-default profiles.
326,2,mozilla::ipc::MessagePump::Run(base::MessagePump::Delegate *) (in xul.dll)
327,1,"* Load N tabs at a time (where N is pref controlled, default of 3-5 probably, < 1 indicates no limit)."
328,2,OS: Linux 2.4.3
329,1,I do not know what more UX can do at this point. What else is needed here?
330,2,http://telefonicaid.github.io/wakeup_platform_documentation/doc/html_chunked/ch03.html
331,1,For checkin. Carrying over r=MattN
332,1,"Thanks Wilfred's information sharing! Then at least it's clear we won't fix it in 2.0 & 2.1, so plan to de-nominate it from 2.0 in coming Triage."
333,4,81% (35/43) vs.  72% (1023/1419) profapi.dll
334,2,"nsFontMetrics::Init(nsFont const &,nsIAtom *,nsDeviceContext *,gfxUserFontSet *) (in xul.dll)"
335,2,nsWidget::RealizeSignal(0x80f34f8)
336,5,ICCread.c: http://pastebin.com/4gvpzV6r (I have to quit the find_tag function. It's not used anymore)
337,5,why not use NS_ERROR_UNKNOWN_PROTOCOL?
338,1,Netscape allows me to use a built in mail client to send a message from a link.
339,1,"I think this bug should be Dup'd to 43579, or 43579 should be dup'd to this one."
340,1,The above URL works in:
341,1,Thanks.
342,1,It has not always been like this. I found a 1-November-2004 trunk build which
343,1,"So that final guard, even though it's dead, is serving a purpose... it's"
344,1,- what happens if you change the running order (first the guest OS gets started
345,2,"NS_STYLE_TEXT_DECORATION_OVERLINE,"
346,1,"I didn't say it covered all, now did I?  And I explicitly addressed the one exception.  Stop the silly straw-man arguments."
347,1,2. Try selecting the text.
348,1,"Yes, I'll definately have a go at doing this, although I probably will need to contact you on IRC at some point."
349,1,message display in compose window differs from how the message is displayed
350,4,.*** WARNING: Unable to verify checksum for D:\Programme\fftest\firefox\xul.dll
351,2,r=bbaetz
352,1,"Hey Jovan,"
353,3,"illa\netwerk\streamconv\converters\nsMultiMixedConv.cpp, line 303"
354,1,This is not a blocker.
355,5,So it looks like there's definitely a perf regression associated with this change (scroll down to 'damp opt'): https://treeherder.mozilla.org/perf.html#/compare?originalProject=fx-team&originalRevision=288d12e9236b&newProject=try&newRevision=769bce3ee777
356,1,"Oh, and apart from the leaks, no visible Memcheck or Ptrcheck"
357,1,Scenario2:
358,1,"stupid eg: A boy is supposed to be doing his homework on the comp but he decides to do some surfing. Afterwards his parents could easily see what he was doing because his last saved directory was ""/downloads/gametrailers"""
359,1,*** This bug has been marked as a duplicate of 41984 ***
360,1,Problem happens under e10s and non-e10s.
361,1,Please try these and report back with your results.
362,1,Bobby: it no longer crashes. Thanks!
363,2,"nsHTTPFinalListener::OnStopRequest(nsHTTPFinalListener * const 0x05053c70,"
364,1,*** This bug has been marked as a duplicate of 183697 ***
365,1,"Hi, Montoya"
366,1,attachments intend to show the generalization of what this page demos.
367,1,according to bug 1009353 there should be an allowance to change the search provider based on MNC/MCC
368,1,Agree with jdm.
369,1,"To verify the real URI, click on location bar and push Escape key."
370,2,{{
371,2,"mmap2(NULL, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) ="
372,4,04:50:50 WARNING - PROCESS-CRASH | dom/indexedDB/test/browser_perwindow_privateBrowsing.js | application crashed [@ mozilla::`anonymous namespace'::RunWatchdog(void *)]
373,1,"I'm going to stop here for now. The JM architecture isn't great for fixing this, and given that we're planning a better one, spending any more time getting this queue solid and dealing with perf regressions doesn't seem to have any real benefit."
374,1,"Removing adt1.0.0. Pls land this on the trunk, and let it bake for a couple of"
375,2,xul!js::NewBuiltinClassInstance<js::PlainObject>+0x18
